k,home_adv,draw_prob,matches,accuracy,log_loss,brier
30.0,80.0,0.27,1520,0.5434210526315789,0.9856495670559948,0.5876856356711098
30.0,80.0,0.3,1520,0.5434210526315789,0.9936903120991725,0.5936065669326773
30.0,100.0,0.2,1520,0.5328947368421053,0.9871102748079253,0.5874918164889155
30.0,100.0,0.23,1520,0.5328947368421053,0.9843485242607705,0.5864388189660955
30.0,100.0,0.25,1520,0.5328947368421053,0.9854062134730417,0.5873278300358356
30.0,100.0,0.27,1520,0.5328947368421053,0.9884898860363607,0.5894896486402027
30.0,100.0,0.3,1520,0.5328947368421053,0.9965306310795395,0.5951188906741794
40.0,0.0,0.2,1520,0.5394736842105263,0.9923851100508109,0.5905285318043205
40.0,0.0,0.23,1520,0.5394736842105263,0.9896233595036548,0.5898001641461793
40.0,0.0,0.25,1520,0.5394736842105263,0.9906810487159267,0.5908866121521525
40.0,0.0,0.27,1520,0.5394736842105263,0.9937647212792415,0.5932306813139133
40.0,0.0,0.3,1520,0.5394736842105263,1.00180546632242,0.5991048247236581
40.0,25.0,0.2,1520,0.5388157894736842,0.9849040679028963,0.5850143961334668
40.0,25.0,0.23,1520,0.5388157894736842,0.9821423173557415,0.5844553350619404
40.0,25.0,0.25,1520,0.5388157894736842,0.9832000065680144,0.5856562763551423
40.0,25.0,0.27,1520,0.5388157894736842,0.9862836791313327,0.5881161365877143
40.0,25.0,0.3,1520,0.5388157894736842,0.9943244241745092,0.5941663999479021
40.0,50.0,0.2,1520,0.5453947368421053,0.9809984696870103,0.5823275358847921
40.0,50.0,0.23,1520,0.5453947368421053,0.9782367191398544,0.5817423329827187
40.0,50.0,0.25,1520,0.5453947368421053,0.9792944083521243,0.5829313398559809
40.0,50.0,0.27,1520,0.5453947368421053,0.9823780809154434,0.585383660442294
40.0,50.0,0.3,1520,0.5453947368421053,0.9904188259586207,0.591430854533727
40.0,65.0,0.2,1520,0.5407894736842105,0.9803439882529369,0.5820354531019314
40.0,65.0,0.23,1520,0.5407894736842105,0.9775822377057797,0.5813447153488719
40.0,65.0,0.25,1520,0.5407894736842105,0.9786399269180528,0.5824684084234389
40.0,65.0,0.27,1520,0.5407894736842105,0.9817235994813686,0.5848594494259596
40.0,65.0,0.3,1520,0.5407894736842105,0.9897643445245479,0.590822288294649
40.0,80.0,0.2,1520,0.5467105263157894,0.980927977352274,0.5826839953172738
40.0,80.0,0.23,1520,0.5467105263157894,0.9781662268051186,0.5818246739389288
40.0,80.0,0.25,1520,0.5467105263157894,0.9792239160173904,0.5828422230941355
40.0,80.0,0.27,1520,0.5467105263157894,0.9823075885807062,0.5851321163086284
40.0,80.0,0.3,1520,0.5467105263157894,0.9903483336238857,0.5909526012415273
40.0,100.0,0.2,1520,0.5460526315789473,0.9835805586926314,0.5849133195991075
40.0,100.0,0.23,1520,0.5460526315789473,0.9808188081454752,0.5837392474708261
40.0,100.0,0.25,1520,0.5460526315789473,0.981876497357748,0.5845569693334081
40.0,100.0,0.27,1520,0.5460526315789473,0.984960169921069,0.5866550404878077
40.0,100.0,0.3,1520,0.5460526315789473,0.9930009149642438,0.5922028021415647
